LSTM,CNN_LSTM,REAL_VALUE
727.6292,724.69305,733.0
727.5229,724.17926,731.4
726.4606,722.8796,730.65
725.422,721.9435,728.25
723.839,719.96893,729.75
723.35034,720.4834,729.35
723.5571,720.4643,730.4
723.9415,721.22766,731.6
724.9532,722.32025,731.45
725.65234,722.51074,730.35
725.21783,721.7262,732.3
725.7243,722.851,731.4
726.0442,722.60565,734.0
726.76886,724.2839,733.15
727.291,724.2113,733.45
727.3354,724.3238,733.45
727.4407,724.3485,734.6
728.046,725.122,733.6
727.97406,724.7073,734.0
727.78625,724.79675,733.9
727.9458,724.77765,734.35
728.15753,725.069,734.9
728.4927,725.52136,735.0
728.8281,725.7071,735.35
729.1306,725.9684,734.45
728.90436,725.4565,734.3
728.5308,725.1823,734.3
728.4333,725.12274,735.75
729.02484,726.0644,736.3
729.7562,726.73944,736.1
729.9822,726.7657,735.65
729.8675,726.4298,735.65
729.8162,726.3223,735.0
729.46277,725.8833,733.55
728.43054,724.81256,735.5
728.67737,725.765,734.1
728.71655,725.1998,734.3
728.2386,725.1232,734.0
728.1726,724.9168,732.6
727.5935,723.92456,732.9
727.0572,723.8291,732.95
727.0917,723.882,732.55
726.9229,723.6394,732.9
726.8364,723.8011,730.95
726.1133,722.50275,730.8
725.3243,721.96265,732.25
725.79675,722.89667,730.6
725.5287,722.0427,730.6
724.8122,721.7325,729.45
724.3188,720.8086,728.45
723.4842,719.831,729.4
723.2939,720.25903,728.65
723.2312,719.9057,730.9
723.99695,721.425,733.5
726.0552,723.72614,729.7
725.5161,721.68677,730.0
724.31146,721.09265,728.0
723.5704,719.5746,726.7
722.06256,718.22705,725.7
720.51154,717.1373,729.6
721.8488,719.70917,730.0
723.58185,720.8307,730.25
723.96704,721.26154,733.1
725.6969,723.3457,733.1
727.2855,723.94727,735.4
728.3437,725.57214,736.5
729.6798,726.7465,736.1
730.2002,726.7885,735.55
729.7627,726.365,735.2
729.37006,725.99347,734.55
728.90607,725.49133,736.15
729.1899,726.4071,736.05
729.67413,726.65247,735.8
729.6699,726.52527,735.8
729.70966,726.45795,736.4
730.1518,726.8462,736.0
730.1973,726.7115,736.0
730.0155,726.6525,734.55
729.3959,725.67755,730.3
726.8718,722.49567,735.0
727.18396,724.73834,734.35
728.4352,725.134,734.3
728.10834,725.1664,734.05
727.99945,724.9511,735.45
729.0651,725.80334,734.75
729.2107,725.6406,735.35
729.05023,725.9365,733.45
728.5268,724.7907,734.35
728.26587,725.003,733.9
728.1397,724.8377,734.35
728.12897,725.08136,734.9
728.513,725.5202,734.6
728.6857,725.4472,734.45
728.5667,725.3055,734.75
728.69946,725.45624,734.75
728.8399,725.51373,734.5
728.6679,725.3666,734.1
728.3705,725.0511,734.6
728.4663,725.2858,734.3
728.47205,725.1809,735.5
728.86786,725.91864,735.55
729.3792,726.18414,735.85
729.64874,726.43494,735.5
729.6485,726.2584,736.5
730.0579,726.8586,738.9
731.4974,728.62286,739.7
732.79034,729.6553,739.25
733.06635,729.5961,738.95
733.03455,729.3121,738.5
732.87103,728.93933,737.5
732.1106,728.1972,736.95
731.29346,727.6288,737.3
731.15497,727.71625,736.95
731.03894,727.5474,738.3
731.45795,728.3811,739.0
732.3733,729.092,738.8
732.74567,729.14526,737.65
732.2651,728.37305,737.55
731.9061,728.054,736.0
731.09595,726.9804,735.45
730.0275,726.29663,734.5
729.177,725.52386,734.1
728.5501,725.05505,734.5
728.41736,725.2196,735.25
728.8704,725.77795,734.15
728.72266,725.232,734.1
728.3683,724.9904,734.05
728.37823,724.9064,732.75
727.7289,724.03503,735.3
728.21454,725.4546,733.9
728.4936,725.00604,739.75
730.65607,728.64984,742.9
734.28357,731.8215,745.5
737.17194,734.60236,745.3
738.5799,735.171,744.2
738.7562,734.3701,744.1
738.4995,734.0329,746.05
739.0346,735.43555,745.4
739.18976,735.4379,744.55
738.5586,734.73615,745.15
738.6426,734.93823,745.6
739.1932,735.38617,745.0
739.0604,735.08295,745.5
739.14075,735.3397,745.45
739.503,735.3876,745.2
739.4111,735.2102,745.9
739.5704,735.6734,745.55
739.7554,735.5683,745.55
739.64966,735.5163,746.9
740.1947,736.5006,745.9
740.32574,736.07916,745.2
739.69916,735.3645,745.0
739.36273,734.9967,745.4
739.4591,735.2274,745.7
739.545,735.55457,746.1
739.7789,735.94867,749.5
741.5093,738.6115,743.15
740.13104,734.6053,742.85
737.8258,733.0222,742.7
737.5505,732.603,744.45
737.9679,733.8598,745.45
738.39325,735.0801,743.9
738.3228,734.2177,744.2
738.3204,734.0799,742.45
737.6887,732.80066,743.75
737.5124,733.3669,743.55
737.70557,733.47723,743.0
737.33923,733.085,743.4
737.23663,733.2408,743.0
737.28687,733.014,743.1
737.15875,733.0172,743.1
737.113,733.0312,742.5
736.89954,732.6022,742.4
736.6078,732.39984,740.6
735.7073,731.12866,739.0
734.2631,729.6869,739.8
733.8365,729.8234,739.05
733.582,729.4561,739.15
733.1648,729.4232,739.0
733.1048,729.3228,738.0
732.7367,728.6427,734.95
730.9079,726.43097,740.95
732.303,729.6841,741.55
734.6583,731.1921,740.6
734.5284,730.9074,738.45
733.4343,729.3025,739.8
733.77716,729.6853,741.55
734.7524,731.07416,740.7
734.61334,730.93787,739.85
734.0563,730.2618,740.25
734.1896,730.2912,740.0
734.16315,730.18744,739.55
733.6843,729.8814,741.25
734.2923,730.901,741.45
735.1016,731.3661,739.75
734.4442,730.3332,738.45
733.3145,729.1357,736.2
731.91174,727.3356,736.15
730.7711,726.80023,735.2
729.89545,726.11536,734.25
728.9555,725.3235,732.05
727.4903,723.63776,731.8
726.50684,722.9432,728.65
724.83636,720.5337,727.15
722.7411,718.77167,724.95
720.8798,716.6706,727.5
721.06885,718.0321,727.0
721.56714,718.2071,724.75
720.3108,716.5009,723.9
719.1083,715.2757,722.2
718.11615,713.78687,720.35
716.28326,711.98755,716.0
712.99786,708.6551,712.1
709.17993,704.9013,710.5
706.6136,702.9566,713.9
707.462,705.1408,715.05
709.4372,706.6479,714.8
710.05493,706.79553,716.4
711.0861,707.8422,716.35
712.1022,708.0947,716.5
712.00793,708.2364,715.4
711.09515,707.4957,715.35
710.4846,707.23285,715.1
710.13574,707.02655,714.65
709.6117,706.67145,715.05
709.57697,706.8741,714.85
709.78143,706.80005,715.9
710.3277,707.5199,717.6
711.6598,708.85834,718.25
712.82916,709.6411,721.7
714.8525,712.09235,724.65
717.77094,714.9774,722.7
718.1687,714.3221,714.85
713.3752,708.39294,725.7
715.3442,714.2619,725.65
719.45154,716.32245,726.3
719.5449,717.3078,725.4
719.3158,716.72284,727.4
721.1187,718.02765,726.6
721.43396,717.9044,729.65
722.0766,719.98737,730.15
723.67365,720.9866,728.95
723.6127,720.3329,728.2
722.644,719.54266,727.5
722.1676,718.83325,726.45
721.376,717.893,728.2
721.4729,718.93005,727.15
721.6339,718.52966,726.35
721.00385,717.7689,725.35
720.2411,716.7624,724.5
